steps,losses
0,2.3113322257995605
100,2.2764108180999756
200,2.3231234550476074
300,2.2721147537231445
400,2.264831781387329
500,2.181936025619507
600,2.3508498668670654
700,2.1830532550811768
800,2.128073215484619
900,2.144364595413208
