steps_train,loss_train
0,2.3032405376434326
100,0.6663159132003784
200,0.3229868412017822
300,0.30434203147888184
400,0.22384250164031982
500,0.0816643238067627
600,0.1654791384935379
700,0.20751558244228363
800,0.056331951171159744
900,0.12140902876853943
