quants,means
0,-0.007185719907283783
1,-0.01214550994336605
2,-0.01690971851348877
3,-0.012835052693844773
4,-0.009045387071091681
5,-0.007538619264551016
6,-0.008220301781031074
7,-0.006624185514795045
8,-0.009537961364761335
9,-0.011489057754852183
10,-0.010045822184648305
11,-0.007863635957657303
12,-0.008452263359651204
13,-0.006866237866915981
14,-0.007044999226764048
15,-0.008125430601495509
16,-0.008152372904853966
17,-0.008163750833798784
18,-0.007176854147593603
19,-0.006908240526558984
20,-0.006315359432088978
21,-0.005594252044519718
22,-0.004564452052778981
23,-0.003961350717285465
24,-0.003246318946494284
25,-0.004146722097822511
26,-0.004546377693074006
27,-0.0034563280865670875
28,-0.0031747493530772395
29,-0.00269198379393553
30,-0.0025063678824241626
31,-0.0023118451986334776
32,-0.0030351580931258495
33,-0.0028135231332405107
34,-0.0017960649960904057
35,-0.0014529850042208636
36,-0.0022217545676564464
37,-0.0012241734209510469
38,-0.0014998237643573165
39,-0.0017608543781648222
40,-0.0009097755789475852
41,-0.0009789157286810397
42,-0.0010504208076823954
43,-0.0012565693187773584
44,-0.001183722244210609
45,-0.0014226505992926673
46,-0.001504093263384733
47,-0.0013943038535918124
48,-0.001310516384912299
49,-0.0015672558252208546
50,-0.0015232092424216092
51,-0.0006770100979145774
52,-0.0005311105432808273
53,-0.0005029677518585366
54,-0.0005581302502254071
55,-0.0003048509427523121
56,-4.779900536321516e-06
57,-0.0003062556274534441
58,-0.0005589064496342547
59,-0.0008565165818026799
60,-0.0008114477079035452
61,-0.0007780122234195123
62,-0.0007891006403331139
63,-0.0006563475869896251
64,-0.00037583523551522655
65,-0.0002737641085456165
66,-0.0002576526723185371
67,-0.0005300407157164955
68,-0.0004438194334556022
69,-0.000612167823425937
70,-0.00024198079183124848
71,-8.731473382618383e-05
72,-0.00011598185077773078
73,-0.0005480212533539825
74,-0.0006006784013455521
75,-0.0008876175444715715
76,-0.0007240808432506093
77,-0.0008052474756123746
78,-0.0011658738977023894
79,-0.0013564348415513905
80,-0.0012466345795552496
81,-0.0012864656595599916
82,-0.0012816228693145056
83,-0.0011009136150808747
84,-0.0012660656389765362
85,-0.001330191149553536
86,-0.0013777971441371868
87,-0.0013972763175564235
88,-0.0014971877450600944
89,-0.00176017706512539
90,-0.001653281049929429
91,-0.0017227304423386158
92,-0.0016725734494342447
93,-0.0019981757100866046
94,-0.0021064423727789527
95,-0.002377496054127922
96,-0.002321951114547269
97,-0.0024148402015466025
98,-0.002485838318171782
99,-0.0021134365761872687
100,-0.0019707084386504678
101,-0.002226183496108491
102,-0.002028053530775474
103,-0.0020831491961355543
104,-0.002115705821506708
105,-0.002123266976206891
106,-0.001789431870352401
107,-0.001729254618790374
108,-0.0017369949880232374
109,-0.001850972986461453
110,-0.0017992745058993908
111,-0.0019166745076850994
112,-0.002197835109570478
113,-0.0021202065383293524
114,-0.0021932656890701605
115,-0.002130306471752286
116,-0.0020066641650995517
117,-0.0021851596088824517
118,-0.002264993133574061
119,-0.0021995902152449768
120,-0.002323524250382321
121,-0.002117352050014293
122,-0.0023732450160157273
123,-0.0023288427932635796
124,-0.002601968770268286
125,-0.002809876137548816
126,-0.0026973517895592836
127,-0.0026796633609400544
128,-0.0026687856378067205
129,-0.00262876641478005
130,-0.0026784143933860235
131,-0.002918513264985863
132,-0.0029996000500596394
133,-0.0032338169185129402
134,-0.0031564729726967387
135,-0.003076985494561434
136,-0.0031459361515984324
137,-0.0030380084500571366
138,-0.003008959751990679
139,-0.002851437235848867
140,-0.0028954954950645095
141,-0.0029820824265602247
142,-0.002966530701141383
143,-0.0031641330330513836
144,-0.0032614808805631365
145,-0.003387388520002488
146,-0.003269169576525405
147,-0.0031496977980863005
148,-0.003100414671637388
149,-0.0030496172159746493
150,-0.0030491080890487562
151,-0.002998427040920074
152,-0.0030647343989252465
153,-0.0031254152201754906
154,-0.0032831452549426984
155,-0.003264692840814813
156,-0.003152187144446746
157,-0.0030652958966261913
158,-0.0032230719427772223
159,-0.0031553117286449604
160,-0.0032984208600712055
161,-0.0032787881285895747
162,-0.003429132263465329
163,-0.0032247128260595253
164,-0.003123059175703185
165,-0.003163613699935451
166,-0.003096268485560195
167,-0.0029049305966146848
168,-0.0029983543003033806
169,-0.002952754594514986
170,-0.00286972943030915
171,-0.0028234978628995312
172,-0.0028904104896213477
173,-0.002720747170882135
174,-0.0026525535019572997
175,-0.002675878631224164
176,-0.002715156567275678
177,-0.002746457119983052
178,-0.002670729768028625
179,-0.0027314877510257753
180,-0.002719127961314089
181,-0.002608982520964024
182,-0.0025971042650905123
183,-0.002602322184709069
184,-0.0026722714513394944
185,-0.002596152851924427
186,-0.0025191743750638805
187,-0.002511923148827396
188,-0.002483965006795477
189,-0.0025523853446166437
190,-0.00259972112663438
191,-0.0026414018655055807
192,-0.002704563720224711
193,-0.0027778293252928034
194,-0.002767079295249576
195,-0.0028349684878205563
196,-0.002897719555163847
197,-0.0027372410825642467
198,-0.002822359256701952
199,-0.0028512826844985283
200,-0.002871191249922239
201,-0.002930642511726114
202,-0.0031095272750332826
203,-0.0031458306513371223
204,-0.00314566937038363
205,-0.003112665313488674
206,-0.003020422424403965
207,-0.002923718634941854
208,-0.0028441570263793257
209,-0.002834932903076714
210,-0.0028561514591123453
211,-0.002754865352679893
212,-0.0027344321407548823
213,-0.0027402694806696504
214,-0.002704452698968495
215,-0.0028300737910003423
216,-0.0029354029811090986
217,-0.0028625330819001286
218,-0.0028868687002792603
219,-0.0029643210429660693
220,-0.00293732072998358
221,-0.0028837190082695824
222,-0.0029175130096665666
223,-0.0029198568762974935
224,-0.0028837424387994463
225,-0.002804871664584908
226,-0.0026882136736668797
227,-0.002693848551231033
228,-0.0025749423121875408
229,-0.002504920252441361
230,-0.002549870876615993
231,-0.0023766338343150515
232,-0.002345965585192167
233,-0.0022862582148741825
234,-0.002297861465475317
235,-0.002089894111864558
236,-0.0019867099416466315
237,-0.0018965957502040656
238,-0.0018386410654148908
239,-0.0017446754845290495
240,-0.0016786694112837178
241,-0.0016666119889984002
242,-0.001798090058413803
243,-0.0017448944568897906
244,-0.0017046530988223747
245,-0.001587416459034376
246,-0.001529177825257368
247,-0.0014343697122047073
248,-0.0014907800000254936
249,-0.0014760589460511256
250,-0.0015038497221560164
251,-0.001555385878406115
252,-0.0014095450080272756
253,-0.0014919866157523808
254,-0.0015138345049807884
255,-0.0016367277303874772
256,-0.0016557972322544746
257,-0.0016649662970619887
258,-0.0016329315389118646
259,-0.0015932023104929052
260,-0.0015393648755694304
261,-0.0015693906213566137
262,-0.0016015627122782075
263,-0.00170293851905881
264,-0.001659237752496751
265,-0.0017254841873370211
266,-0.0016895956351645476
267,-0.0016531769800170633
268,-0.0016160464740559558
269,-0.0016376801861867905
270,-0.0016727224121774519
271,-0.0017086540833872732
272,-0.0017797399249695858
273,-0.0017033939099106302
274,-0.0017211139498993528
275,-0.0018513790101181164
276,-0.0018853156412703294
277,-0.0019329856142016881
278,-0.001935845838519572
279,-0.001990013406665574
280,-0.002010513892536861
281,-0.0019896716046751855
282,-0.0020341083922956983
283,-0.002006684309481949
284,-0.0019266035057019812
285,-0.0017734859505593819
286,-0.0018709618379706332
287,-0.0018685636909054892
288,-0.0018776351128092985
289,-0.0018221081343418864
290,-0.0016776206323598965
291,-0.0016293139624036633
292,-0.0016032012935712364
293,-0.001495368254095751
294,-0.0014681505225318256
295,-0.0015489991744574753
296,-0.0016465991926461448
297,-0.0016774311877084348
298,-0.0016292032118871548
299,-0.0016161656298709203
300,-0.0016852517862625187
301,-0.0017614578007637556
302,-0.0017206442705005594
303,-0.0016434703916529184
304,-0.001665307878810098
305,-0.001725326972116081
306,-0.0018053570385837682
307,-0.0017921784103204377
308,-0.0017424200727520337
309,-0.001668043548454901
310,-0.001622884468091961
311,-0.0015311059210399108
312,-0.0015501929428937613
313,-0.0016116799240680152
314,-0.0015236400788948923
315,-0.0015248935872757066
316,-0.0015188323220304584
317,-0.0014922649477627928
318,-0.001438898601463734
319,-0.001485099012599278
320,-0.0015289142293665897
321,-0.001369823199097736
322,-0.0012636076631135872
323,-0.0013460232423079858
324,-0.0013041843280048992
325,-0.0013245244608599603
326,-0.0014237802715922603
327,-0.0013774180075961893
328,-0.0012914525255370173
329,-0.0012067475278124192
330,-0.0012417724053160552
331,-0.0012500424558960599
332,-0.0012614280173786122
333,-0.001181409902644414
334,-0.0011695067147623227
335,-0.001285401892174388
336,-0.001285123867452187
337,-0.0013374378456531965
338,-0.0012832931606479871
339,-0.0011584948467169157
340,-0.0011604170524852871
341,-0.0011225430899001855
342,-0.0010904093617406755
343,-0.0010992283905381533
344,-0.0012367813888042715
345,-0.001139816701522192
346,-0.0012358059107808093
347,-0.0012553985331915727
348,-0.0012191750354298015
349,-0.0012615532427623422
350,-0.0011659556113185177
351,-0.001172437592480626
352,-0.0011586401322272511
353,-0.0011382140804178532
354,-0.0011179102525295068
355,-0.0011342784469247765
356,-0.0011691447426574468
357,-0.0011190374507617248
358,-0.001079009947636456
359,-0.0011721302166241307
360,-0.0011188283677072636
361,-0.0010336397288656925
362,-0.0009801046025727962
363,-0.0009437195430531833
364,-0.0010312297680883766
365,-0.0010402355529746134
366,-0.0009501586719831327
367,-0.0009139361531525913
368,-0.0009224840072245195
369,-0.0008612862529758245
370,-0.0008271797515845104
371,-0.0008721662683644344
372,-0.0008669307607349999
373,-0.0009335293048207436
374,-0.0008920453625044805
375,-0.0009724682907476369
376,-0.0009989297320934425
377,-0.0010040783034708117
378,-0.0010644037602957428
379,-0.0010614844344110296
380,-0.0010588327734413077
381,-0.0011328802345312982
382,-0.0010279792867972676
383,-0.0009797746794610873
384,-0.0009878951276047477
385,-0.0010351697266490008
386,-0.0009093676141453312
387,-0.0009955741871956972
388,-0.0009816295418248813
389,-0.0008748149887359875
390,-0.0007706228649622156
391,-0.0008430305912351546
392,-0.0008243127997369529
393,-0.0007930006353233942
394,-0.0008014930217668043
395,-0.0007837099085498156
396,-0.0006950068286389907
397,-0.0006877957011383202
398,-0.0007082709422892615
399,-0.0007025270294991515
400,-0.0007461524952302631
401,-0.000707425551538778
402,-0.000695326789884244
403,-0.0007670762050230395
404,-0.0008217634256641444
405,-0.0008074561930548021
406,-0.0007430153171810755
407,-0.0007992494995739755
408,-0.000747044051857297
409,-0.0007642677011229286
410,-0.0006838414249862131
411,-0.0006868898341877266
412,-0.0007734957385647858
413,-0.0007703362637635615
414,-0.0007369842889437929
415,-0.0007155603596832914
416,-0.0007497361034547707
417,-0.000753571707550321
418,-0.0007504635842790153
419,-0.0007962781753002717
420,-0.0007894946203628769
421,-0.0008385690272315389
422,-0.0008084421298184546
423,-0.0008098444369311608
