,0,1,2,3,4,5,6,7
0,Net_conv1.weight,0.0137756085,Net_conv2.weight,0.0006646929,Net_fc1.weight,0.00041699014,Net_fc2.weight,0.0006698482
1,Net_conv1.weight,0.013795772,Net_conv2.weight,0.00066625467,Net_fc1.weight,0.00041714925,Net_fc2.weight,0.0006523279
2,Net_conv1.weight,0.013813792,Net_conv2.weight,0.00067715667,Net_fc1.weight,0.0004176789,Net_fc2.weight,0.00066677784
3,Net_conv1.weight,0.013842319,Net_conv2.weight,0.00069571246,Net_fc1.weight,0.0004186165,Net_fc2.weight,0.0007112944
4,Net_conv1.weight,0.013841675,Net_conv2.weight,0.00073042285,Net_fc1.weight,0.0004204977,Net_fc2.weight,0.00081959105
5,Net_conv1.weight,0.0138765145,Net_conv2.weight,0.0007864666,Net_fc1.weight,0.00042304225,Net_fc2.weight,0.00096479733
6,Net_conv1.weight,0.0139108095,Net_conv2.weight,0.0008563968,Net_fc1.weight,0.000425724,Net_fc2.weight,0.0010977765
7,Net_conv1.weight,0.013965762,Net_conv2.weight,0.0009208737,Net_fc1.weight,0.00042760966,Net_fc2.weight,0.0011509819
8,Net_conv1.weight,0.014035578,Net_conv2.weight,0.0009891568,Net_fc1.weight,0.0004296837,Net_fc2.weight,0.00121117
9,Net_conv1.weight,0.01414038,Net_conv2.weight,0.0010637209,Net_fc1.weight,0.00043192034,Net_fc2.weight,0.0012759787
