steps,losses
0,2.292104959487915
100,0.663230299949646
200,0.2727850079536438
300,0.13811498880386353
400,0.17128737270832062
500,0.10918884724378586
600,0.09387025982141495
700,0.06970585882663727
800,0.10543042421340942
900,0.10868638753890991
1000,0.027765212580561638
1100,0.07004307210445404
1200,0.15500085055828094
1300,0.081956647336483
1400,0.03730719909071922
1500,0.06974892318248749
1600,0.08216778934001923
1700,0.08786454051733017
1800,0.033363983035087585
1900,0.06588077545166016
2000,0.07232383638620377
2100,0.034465666860342026
2200,0.0690605416893959
2300,0.0740584284067154
2400,0.00415688706561923
2500,0.049199178814888
2600,0.04960733279585838
2700,0.014300025999546051
2800,0.022263342514634132
